N,Lineas,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,220 kV OH - NLNE,0.49,0.51,0.55,0.55,0.57,0.56,0.57,0.58,0.59,0.59,0.63,0.62,0.62,0.63,0.64,0.64,0.65,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.72
2,220 kV NLNE - CO,0.30,0.32,0.33,0.36,0.38,0.38,0.38,0.39,0.39,0.39,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.36
3,220 kV OH - CO C2,0.47,0.49,0.52,0.53,0.55,0.54,0.55,0.56,0.56,0.56,0.61,0.59,0.60,0.60,0.61,0.62,0.62,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.69,0.69
4,220 kV OH - LLA,0.68,0.51,0.60,0.62,0.67,0.65,0.74,0.79,0.78,0.78,0.77,0.76,0.77,0.78,0.79,0.79,0.79,0.77,0.79,0.78,0.76,0.76,0.75,0.74,0.76,0.75,0.73
5,220 kV TO LLA - TO PA,0.60,0.44,0.52,0.55,0.59,0.57,0.65,0.70,0.69,0.69,0.68,0.67,0.68,0.69,0.69,0.69,0.69,0.68,0.69,0.68,0.66,0.66,0.65,0.64,0.66,0.65,0.63
6,220 kV TO PA - DOM,0.57,0.41,0.48,0.50,0.55,0.52,0.61,0.65,0.64,0.64,0.63,0.62,0.62,0.63,0.64,0.63,0.63,0.62,0.63,0.62,0.60,0.59,0.58,0.57,0.58,0.57,0.55
7,220 kV OH - PU,0.65,0.49,0.57,0.60,0.65,0.63,0.71,0.76,0.75,0.74,0.73,0.73,0.73,0.74,0.75,0.75,0.74,0.73,0.74,0.73,0.71,0.71,0.69,0.69,0.70,0.69,0.67
8,220 kV PU - DOM,0.48,0.32,0.40,0.41,0.45,0.43,0.51,0.56,0.55,0.55,0.54,0.53,0.54,0.55,0.55,0.55,0.55,0.54,0.55,0.54,0.52,0.52,0.51,0.50,0.51,0.50,0.49
9,220 kV OH - FAN,0.66,0.52,0.60,0.63,0.68,0.66,0.74,0.78,0.77,0.77,0.76,0.75,0.76,0.77,0.77,0.77,0.77,0.75,0.77,0.75,0.73,0.73,0.72,0.71,0.73,0.72,0.69
10,220 kV FAN - CHIM,0.52,0.37,0.45,0.46,0.50,0.49,0.56,0.61,0.60,0.60,0.59,0.58,0.59,0.60,0.60,0.60,0.60,0.59,0.60,0.59,0.57,0.57,0.55,0.55,0.56,0.55,0.54
11,220 kV CHIM - DOM,0.39,0.31,0.31,0.35,0.37,0.36,0.40,0.45,0.44,0.44,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.45,0.44,0.42,0.42,0.41,0.40,0.41,0.40,0.39
12,220 kV LAB - NZ C1,0.52,0.32,0.28,0.29,0.32,0.40,0.48,0.52,0.49,0.49,0.48,0.46,0.46,0.47,0.47,0.46,0.45,0.43,0.44,0.42,0.39,0.38,0.36,0.36,0.37,0.37,0.34
13,220 kV LAB - NZ C2,0.50,0.31,0.27,0.28,0.31,0.38,0.46,0.50,0.48,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.42,0.40,0.38,0.37,0.35,0.35,0.36,0.36,0.33
14,220 kV TOO - LAB,0.38,0.16,0.14,0.14,0.16,0.28,0.33,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.30,0.30,0.28,0.27,0.26,0.25,0.25,0.26,0.26,0.25
15,220 kV ADS - TOO,0.29,0.07,0.05,0.05,0.05,0.18,0.22,0.25,0.24,0.23,0.22,0.21,0.21,0.21,0.20,0.20,0.19,0.17,0.17,0.15,0.13,0.12,0.12,0.12,0.12,0.13,0.12
16,220 kV ADS - NZ C1,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,220 kV ADS - NZ C2,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,220 kV ADS - MTM C1,0.00,0.02,0.02,0.02,0.02,0.07,0.09,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.05,0.04
19,220 kV ADS - MTM C2,0.00,0.02,0.02,0.02,0.02,0.07,0.09,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.05,0.04
20,220 kV MTM - NZ C1,0.00,0.25,0.23,0.23,0.27,0.11,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.17,0.17,0.17,0.19,0.19,0.19,0.20,0.19,0.19,0.20,0.19,0.18
21,220 kV MTM - NZ C2,0.00,0.25,0.23,0.23,0.27,0.11,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.17,0.17,0.17,0.19,0.19,0.19,0.20,0.19,0.19,0.20,0.19,0.18
22,220 kV MTM - PNAS C1,0.00,0.21,0.19,0.20,0.23,0.18,0.24,0.26,0.26,0.27,0.27,0.27,0.28,0.30,0.31,0.32,0.33,0.33,0.35,0.35,0.36,0.37,0.36,0.36,0.37,0.35,0.35
23,220 kV MTM - PNAS C2,0.00,0.21,0.19,0.20,0.23,0.18,0.24,0.26,0.26,0.27,0.27,0.27,0.28,0.30,0.31,0.32,0.33,0.33,0.35,0.35,0.36,0.37,0.36,0.36,0.37,0.35,0.35
24,220 kV LACA - PNAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,220 kV SE1 - PNAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,220 kV NZ - SUFS,0.54,0.89,0.77,0.78,0.90,0.41,0.51,0.56,0.54,0.54,0.53,0.53,0.54,0.56,0.57,0.57,0.56,0.56,0.58,0.56,0.53,0.54,0.52,0.52,0.54,0.51,0.48
27,220 kV NZ - ZVAR,0.54,0.84,0.74,0.71,0.80,0.57,0.68,0.75,0.56,0.56,0.55,0.56,0.58,0.59,0.61,0.62,0.62,0.62,0.65,0.64,0.62,0.63,0.61,0.61,0.63,0.61,0.60
28,220 kV NZ - OP1,0.49,0.48,0.49,0.55,0.56,0.55,0.70,0.72,0.73,0.76,0.79,0.70,0.70,0.72,0.71,0.74,0.77,0.70,0.75,0.76,0.77,0.76,0.74,0.70,0.74,0.76,0.71
29,220 kV ZVAR - SE3,0.43,0.72,0.63,0.60,0.69,0.28,0.33,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,220 kV SE1 - ZVAR,0.00,0.00,0.00,0.00,0.00,0.29,0.35,0.39,0.49,0.49,0.48,0.49,0.50,0.52,0.53,0.53,0.53,0.53,0.55,0.53,0.51,0.51,0.48,0.48,0.50,0.46,0.45
31,220 kV DOM - OP1,0.50,0.49,0.50,0.56,0.57,0.56,0.71,0.72,0.74,0.76,0.80,0.71,0.70,0.72,0.72,0.75,0.77,0.70,0.75,0.77,0.78,0.77,0.74,0.71,0.74,0.76,0.72
32,220 kV DOM - SUFS,0.35,0.67,0.59,0.62,0.66,0.20,0.30,0.33,0.33,0.32,0.29,0.29,0.27,0.27,0.28,0.30,0.31,0.32,0.33,0.28,0.31,0.32,0.30,0.28,0.29,0.34,0.38
33,220 kV SE1 - SE3,0.00,0.00,0.00,0.57,0.56,0.45,0.45,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,220 kV DOM - SE1,0.00,0.00,0.00,0.57,0.57,0.36,0.39,0.48,0.36,0.38,0.39,0.38,0.39,0.42,0.44,0.46,0.47,0.49,0.54,0.53,0.52,0.54,0.50,0.49,0.51,0.51,0.54
35,220 kV SE1 - SE2,0.00,0.00,0.00,0.00,0.00,0.22,0.25,0.23,0.21,0.21,0.22,0.22,0.23,0.22,0.22,0.23,0.24,0.24,0.27,0.27,0.27,0.28,0.26,0.26,0.27,0.25,0.24
36,220 kV DOM - PL O,0.20,0.36,0.36,0.37,0.32,0.25,0.26,0.29,0.31,0.32,0.28,0.30,0.31,0.33,0.36,0.32,0.30,0.32,0.29,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
37,220 kV DOM - LACA,0.70,0.70,0.70,0.69,0.96,0.53,0.64,0.66,0.67,0.66,0.68,0.70,0.73,0.73,0.74,0.74,0.75,0.74,0.76,0.77,0.75,0.75,0.76,0.75,0.75,0.75,0.75
38,220 kV DOM - SE3,0.49,0.56,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,220 kV LACA - SE2,0.00,0.00,0.00,0.00,0.00,0.45,0.54,0.56,0.57,0.56,0.58,0.59,0.62,0.62,0.62,0.62,0.63,0.63,0.64,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64
40,220 kV CHYA - ECU C1,0.05,0.06,0.05,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.11,0.10
41,220 kV CHYA - ECU C2,0.05,0.06,0.05,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.11,0.10
42,220 kV MJIS - OH,0.21,0.21,0.30,0.09,0.10,0.09,0.10,0.10,0.09,0.10,0.10,0.11,0.11,0.11,0.12,0.12,0.13,0.14,0.14,0.15,0.16,0.17,0.17,0.18,0.19,0.20,0.21
43,220 kV LAB - ECU,0.43,0.58,0.57,0.34,0.35,0.21,0.20,0.20,0.21,0.23,0.25,0.28,0.30,0.31,0.34,0.36,0.39,0.42,0.46,0.50,0.54,0.58,0.61,0.63,0.65,0.66,0.71
44,220 kV LAB - MTBS,0.11,0.14,0.12,0.12,0.12,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.10,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.06
45,220 kV CAPRI - MTBS,0.08,0.11,0.08,0.19,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16
46,220 kV CHYA - CAPRI,0.06,0.06,0.07,0.26,0.26,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.30,0.30,0.30,0.30,0.29,0.29,0.30,0.30,0.30,0.31,0.31
47,220 kV KTR - LAB C1,0.22,0.20,0.17,0.17,0.18,0.14,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.20,0.20,0.20,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.22
48,220 kV KTR - LAB C2,0.22,0.20,0.17,0.17,0.18,0.14,0.16,0.17,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.20,0.20,0.20,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.22
49,220 kV KTR - LSCHS C1,0.13,0.05,0.07,0.06,0.07,0.04,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.12,0.12,0.13,0.14,0.13,0.14,0.14,0.14,0.14
50,220 kV KTR - LSCHS C2,0.13,0.05,0.07,0.06,0.07,0.04,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.12,0.12,0.13,0.14,0.13,0.14,0.14,0.14,0.14
51,220 kV KTR - OH C1,0.98,0.91,0.53,0.50,0.55,0.40,0.48,0.54,0.53,0.54,0.55,0.56,0.58,0.60,0.62,0.64,0.66,0.66,0.71,0.72,0.72,0.75,0.74,0.74,0.76,0.74,0.73
52,220 kV KTR - OH C2,0.98,0.91,0.53,0.50,0.55,0.40,0.48,0.54,0.53,0.54,0.55,0.56,0.58,0.60,0.62,0.64,0.66,0.66,0.71,0.72,0.72,0.75,0.74,0.74,0.76,0.74,0.73
53,220 kV ATA - OH C1,0.11,0.12,0.71,0.54,0.55,0.70,0.71,0.72,0.70,0.70,0.69,0.68,0.67,0.66,0.65,0.63,0.62,0.60,0.58,0.56,0.54,0.52,0.52,0.52,0.52,0.54,0.53
54,220 kV ATA - OH C2,0.11,0.12,0.71,0.54,0.55,0.70,0.71,0.72,0.70,0.70,0.69,0.68,0.67,0.66,0.65,0.63,0.62,0.60,0.58,0.56,0.54,0.52,0.52,0.52,0.52,0.54,0.53
